id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,横浜ジョイナス クラシック店 | オーセンティック カフェラミル,神奈川県,横浜市,西区南幸１-５新相鉄ビルＢ１,横浜駅徒歩6分以上,045-311-7513,"平日:09:00 - 22:00
土曜日:09:00 - 22:00
日祝:09:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03008877/,FALSE,FALSE,TRUE,FALSE,35.464602,139.620497,"70席
(禁煙:42/喫煙:28)"
1,横浜元町店 | オーセンティック カフェラミル,神奈川県,横浜市,中区元町４-１６９元町大野ビル２Ｆ,元町・中華街駅徒歩5分以上,045-662-8906,"平日:11:00 - 20:00
土曜日:11:00 - 20:00
日祝:11:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/03008805/,FALSE,FALSE,TRUE,FALSE,35.4401104,139.6471819,"89席
(禁煙:35/喫煙:54)"
2,鎌倉小町通り店 | オーセンティック カフェラミル,神奈川県,鎌倉市,小町１-６-１５Ｉ-ＺＡ鎌倉１Ｆ,鎌倉駅徒歩3分以上,0467-25-6201,"平日:10:00 - 19:30
土曜日:10:00 - 19:30
日祝:10:00 - 19:30",http://sasp.mapion.co.jp/b/doutor/info/03008819/,FALSE,FALSE,FALSE,FALSE,35.3197004,139.5510809,"106席
(禁煙:106/喫煙:0)"
3,紀尾井町サンローゼ赤坂店 | オーセンティック カフェラミル,東京都,千代田区,紀尾井町４-１サンローゼ赤坂２Ｆ,赤坂見附駅徒歩4分以上,03-5276-2285,"平日:10:00 - 20:00
土曜日:10:00 - 20:00
日祝:11:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/03008857/,FALSE,FALSE,TRUE,FALSE,35.680088,139.735449,"55席
(禁煙:45/喫煙:10)"
4,吉祥寺ダイヤ街店 | オーセンティック カフェラミル,東京都,武蔵野市,吉祥寺本町１-８-５オリエントビル１Ｆ,吉祥寺駅徒歩3分以上,0422-20-1552,"平日:11:00 - 22:00
土曜日:11:00 - 22:00
日祝:11:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03008838/,FALSE,FALSE,TRUE,FALSE,35.7043939,139.5785932,"66席
(禁煙:42/喫煙:24)"
5,市川ニッケコルトンプラザ店 | オーセンティック カフェラミル,千葉県,市川市,鬼高１-１-１ニッケコルトンプラザ２Ｆ,鬼越駅徒歩6分以上,047-376-6510,"平日:10:00 - 21:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03008826/,FALSE,FALSE,TRUE,FALSE,35.7172637,139.9353147,"64席
(禁煙:34/喫煙:30)"
6,自由ヶ丘店 | オーセンティック カフェラミル,東京都,目黒区,自由が丘１-８-２サウスゲートビル２Ｆ,自由が丘駅徒歩1分以上,03-3723-4171,"平日:11:00 - 23:00
土曜日:11:00 - 23:00
日祝:11:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03008804/,FALSE,FALSE,TRUE,FALSE,35.6071808,139.6697038,"66席
(禁煙:40/喫煙:26)"
7,新橋店 | オーセンティック カフェラミル,東京都,港区,新橋２-１６-１ニュー新橋ビル１Ｆ,新橋駅徒歩4分以上,03-3508-9571,"平日:08:00 - 23:00
土曜日:09:00 - 22:00
日祝:10:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/03008823/,FALSE,FALSE,TRUE,FALSE,35.6662818,139.7573815,"85席
(禁煙:25/喫煙:60)"
8,新宿モア４番街店 | オーセンティック カフェラミル,東京都,新宿区,新宿３-２５-１０當山ビル１，２Ｆ,新宿駅徒歩3分以内,03-3352-1590,"平日:09:00 - 23:00
土曜日:10:00 - 23:30
日祝:10:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/03008818/,FALSE,FALSE,TRUE,FALSE,35.692543,139.702066,"103席
(禁煙:79/喫煙:24)"
9,浜松町店 | オーセンティック カフェラミル,東京都,港区,浜松町２-４-１世界貿易センタービルＢ１Ｆ,浜松町駅徒歩3分以内,03-3435-5422,"平日:10:00 - 22:30
土曜日:11:00 - 22:00
日祝:11:00 - 19:30",http://sasp.mapion.co.jp/b/doutor/info/03008809/,FALSE,FALSE,TRUE,FALSE,35.655291,139.756232,"71席
(禁煙:37/喫煙:34)"
10,カフェラミル・ラスカ小田原店,神奈川県,小田原市,栄町１-１-９ラスカ小田原５Ｆ,小田原駅徒歩3分以内,0465-23-0141,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/03008896/,TRUE,TRUE,FALSE,FALSE,35.2556651,139.1559373,"65席
(禁煙:65/喫煙:0)"
11,ニュースタイル カフェラミル・サンシャインシティ店,東京都,豊島区,東池袋３-１-２サンシャインシティ・アルパ１Ｆ,東池袋駅徒歩3分以上,03-3987-8722,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/03008863/,FALSE,FALSE,TRUE,FALSE,35.7287526,139.719041,"67席
(禁煙:55/喫煙:12)"
12,ニュースタイル カフェラミル・大丸ピーコック自由ヶ丘店,東京都,目黒区,自由が丘２-１５-４大丸ピーコック自由が丘３Ｆ,自由が丘駅徒歩2分以上,03-5726-1226,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/03008844/,FALSE,FALSE,FALSE,FALSE,35.6077271,139.6666139,
13,ニュースタイル カフェラミル・都立大学駅前店,東京都,目黒区,中根１-２-７井口ビル２Ｆ,都立大学駅徒歩3分以内,03-5731-8527,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03008852/,FALSE,FALSE,TRUE,FALSE,35.6179382,139.6761231,"48席
(禁煙:24/喫煙:24)"
