id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,浦和店 | カフェ コロラド,埼玉県,さいたま市,浦和区高砂２‐２‐２２,浦和駅徒歩4分以上,048-831-0781,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000273/,TRUE,FALSE,TRUE,FALSE,35.8572825,139.6538677,"41席
(禁煙:0/喫煙:41)"
1,越谷店 | カフェ コロラド,埼玉県,越谷市,弥生町２‐１２,越谷駅徒歩2分以上,048-963-5037,"平日:09:00 - 18:00
土曜日:09:00 - 18:00
日祝:09:00 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/07010026/,TRUE,FALSE,TRUE,FALSE,35.8872346,139.7876492,"35席
(禁煙:13/喫煙:22)"
2,塩釜店 | カフェ コロラド,宮城県,塩竈市,尾島町２‐１稲荷ビル,本塩釜駅徒歩5分以上,022-366-4035,"平日:09:00 - 18:00
土曜日:09:00 - 18:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000243/,TRUE,FALSE,TRUE,FALSE,38.3168824,141.0247335,"17席
(禁煙:0/喫煙:17)"
3,横浜西前店 | カフェ コロラド,神奈川県,横浜市,西区中央２‐２４エクセル中央１Ｆ,戸部駅徒歩7分以上,045-321-7223,"平日:09:00 - 17:00
土曜日:09:00 - 17:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000371/,TRUE,FALSE,TRUE,FALSE,35.4525985,139.6164525,"28席
(禁煙:6/喫煙:22)"
4,横浜大口駅前店 | カフェ コロラド,神奈川県,横浜市,神奈川区大口通１３７‐４,大口駅徒歩1分以上,045-432-9159,"平日:07:30 - 22:00
土曜日:07:30 - 20:00
日祝:07:30 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000054/,TRUE,FALSE,TRUE,FALSE,35.4912581,139.6453849,"38席
(禁煙:0/喫煙:38)"
5,下丸子店 | カフェ コロラド,東京都,大田区,下丸子３‐６‐７東家ビル２Ｆ,下丸子駅徒歩3分以内,03-3758-4488,"平日:07:00 - 20:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000257/,TRUE,FALSE,TRUE,FALSE,35.5710443,139.6859541,"39席
(禁煙:0/喫煙:39)"
6,下高井戸駅前店 | カフェ コロラド,東京都,世田谷区,松原３‐２９‐１９鈴木ビル２Ｆ,下高井戸駅徒歩2分以上,03-5376-6984,"平日:08:00 - 22:45
土曜日:08:00 - 22:45
日祝:08:00 - 22:45",http://sasp.mapion.co.jp/b/doutor/info/07000135/,TRUE,FALSE,TRUE,FALSE,35.66633,139.641408,"56席
(禁煙:0/喫煙:56)"
7,下総中山店 | カフェ コロラド,千葉県,市川市,鬼高２‐１０‐９柳沢ビル,下総中山駅徒歩2分以上,047-332-7749,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000217/,TRUE,FALSE,TRUE,FALSE,35.7141374,139.9409953,"45席
(禁煙:10/喫煙:35)"
8,菊名店 | カフェ コロラド,神奈川県,横浜市,港北区篠原北２‐１‐１５,菊名駅徒歩1分以上,045-434-3671,"平日:08:00 - 22:00
土曜日:08:00 - 21:30
日祝:09:00 - 21:30",http://sasp.mapion.co.jp/b/doutor/info/07000174/,TRUE,FALSE,TRUE,FALSE,35.5099447,139.6304221,"49席
(禁煙:0/喫煙:49)"
9,駒場東大前店 | カフェ コロラド,東京都,目黒区,駒場３‐１１‐１２,駒場東大前駅徒歩2分以上,03-3469-0531,"平日:09:00 - 19:00
土曜日:11:00 - 19:00
日祝:11:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000029/,TRUE,FALSE,TRUE,FALSE,35.6593992,139.6817555,"23席
(禁煙:17/喫煙:6)"
10,古河駅前店 | カフェ コロラド,茨城県,古河市,本町１‐２‐１コモディイイダ古河駅前店１Ｆ,古河駅徒歩3分以内,0280-31-6333,"平日:10:00 - 21:00
土曜日:10:00 - 20:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000339/,TRUE,FALSE,TRUE,FALSE,36.1949075,139.7087223,"37席
(禁煙:37/喫煙:0)"
