id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng,chair
0,ＡＳＳＥ広島駅店 | ドトールコーヒー,広島県,広島市,南区松原町２‐３７ＡＳＳＥ広島駅ビルＢ１Ｆ,広島駅駅徒歩3分以内,082-286-2388,"平日:07:00 - 21:00
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011713/,TRUE,TRUE,TRUE,FALSE,34.3969159,132.4756738,"52席
(禁煙:26/喫煙:26)"
1,Ｅｍｉｏ狭山市店 | ドトールコーヒー,埼玉県,狭山市,祇園４-５５,狭山市駅徒歩3分以内,04-2950-5711,"平日:07:00 - 21:00
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/01011788/,TRUE,FALSE,TRUE,FALSE,35.8568805,139.4132321,"75席
(禁煙:46/喫煙:29)"
2,ＪＡ尾道総合病院店 | ドトールコーヒー,広島県,尾道市,平原１-１０-２３,尾道駅徒歩22分以上,0848-23-2080,"平日:08:30 - 16:30
土曜日:10:00 - 15:00
日祝:10:00 - 15:00",http://sasp.mapion.co.jp/b/doutor/info/02012139/,FALSE,FALSE,FALSE,FALSE,34.4070758,133.1761515,"22席
(禁煙:22/喫煙:0)"
3,ＪＲ芦屋駅前店 | ドトールコーヒー,兵庫県,芦屋市,船戸町４-１-２１０ラポルテ本館２Ｆ,芦屋川駅徒歩7分以上,0797-34-1500,"平日:07:30 - 20:00
土曜日:08:00 - 20:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/02012065/,TRUE,TRUE,TRUE,FALSE,34.7353149,135.3066066,"54席
(禁煙:45/喫煙:9)"
4,ＪＲ岡山駅２階改札内店 | ドトールコーヒー,岡山県,岡山市,北区駅元町１‐１ＪＲ岡山駅構内,岡山駅徒歩1分以上,086-224-0801,"平日:06:30 - 21:00
土曜日:06:30 - 21:00
日祝:06:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011668/,TRUE,FALSE,FALSE,FALSE,34.6662307,133.9177505,"13席
(禁煙:13/喫煙:0)"
5,ＪＲ岡山駅店 | ドトールコーヒー,岡山県,岡山市,北区駅元町１‐１サンフェスタ岡山内,岡山駅徒歩2分以上,086-225-7307,"平日:06:30 - 21:00
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011656/,TRUE,TRUE,TRUE,FALSE,34.6650556,133.9176581,"83席
(禁煙:59/喫煙:24)"
6,ＪＲ加古川駅店 | ドトールコーヒー,兵庫県,加古川市,加古川町溝之口５０３‐２,加古川駅徒歩3分以上,079-426-1565,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011420/,TRUE,FALSE,TRUE,FALSE,34.7654439,134.8405996,"71席
(禁煙:43/喫煙:28)"
7,ＪＲ戸畑駅店 | ドトールコーヒー,福岡県,北九州市,戸畑区汐井町１-１,戸畑駅徒歩3分以内,093-883-0034,"平日:06:30 - 21:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/02012126/,TRUE,TRUE,TRUE,FALSE,33.8970016,130.8208506,"46席
(禁煙:37/喫煙:9)"
8,ＪＲ高槻南口店 | ドトールコーヒー,大阪府,高槻市,紺屋町１‐１グリーンプラザたかつき１号館２Ｆ,高槻駅徒歩2分以上,072-686-3222,"平日:07:30 - 21:00
土曜日:07:30 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02010736/,TRUE,FALSE,TRUE,FALSE,34.8514636,135.6191713,"61席
(禁煙:37/喫煙:24)"
9,ＪＲ札幌改札内店 | ドトールコーヒー,北海道,札幌市,北区北６条西３丁目ＪＲ札幌駅構内,札幌駅徒歩1分以上,011-596-0735,"平日:07:00 - 22:30
土曜日:07:00 - 22:30
日祝:07:00 - 22:30",http://sasp.mapion.co.jp/b/doutor/info/01012138/,FALSE,FALSE,FALSE,FALSE,43.0684196,141.3511306,"41席
(禁煙:41/喫煙:0)"
10,ＪＲ札幌北口店 | ドトールコーヒー,北海道,札幌市,北区北六条西３‐２‐１,札幌駅徒歩1分以上,011-252-1860,"平日:07:00 - 22:15
土曜日:07:00 - 22:15
日祝:07:00 - 22:15",http://sasp.mapion.co.jp/b/doutor/info/01010816/,FALSE,FALSE,TRUE,FALSE,43.0685144,141.3509373,"73席
(禁煙:36/喫煙:37)"
11,ＪＲ三宮東口店 | ドトールコーヒー,兵庫県,神戸市,中央区琴ノ緒町５‐１‐３０４,三宮駅徒歩3分以内,078-230-1469,"平日:06:30 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 21:30",http://sasp.mapion.co.jp/b/doutor/info/02011116/,TRUE,TRUE,TRUE,FALSE,34.6951019,135.1951028,"125席
(禁煙:91/喫煙:34)"
12,ＪＲ三島駅北口店 | ドトールコーヒー,静岡県,三島市,一番町１６‐１,三島駅徒歩2分以上,055-988-0028,"平日:07:00 - 20:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/02011655/,TRUE,FALSE,FALSE,FALSE,35.1260407,138.9117463,"32席
(禁煙:32/喫煙:0)"
13,ＪＲ寺田町駅北口店 | ドトールコーヒー,大阪府,大阪市,天王寺区大道４-１１-２１,寺田町駅徒歩3分以内,06-6779-1900,"平日:07:30 - 21:00
土曜日:07:30 - 21:00
日祝:07:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02012069/,TRUE,FALSE,TRUE,FALSE,34.6483735,135.5238089,"43席
(禁煙:34/喫煙:9)"
14,ＪＲ住道駅前店 | ドトールコーヒー,大阪府,大東市,住道２-２大東サンメイツ２番館２Ｆ,住道駅徒歩3分以内,072-872-7355,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011956/,TRUE,FALSE,TRUE,FALSE,34.706607,135.6212167,"67席
(禁煙:54/喫煙:13)"
15,ＪＲ沼津駅店 | ドトールコーヒー,静岡県,沼津市,大手町１‐１‐１,沼津駅徒歩1分以上,055-964-0885,"平日:07:00 - 20:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/02011647/,TRUE,FALSE,TRUE,FALSE,35.1027419,138.8590648,"40席
(禁煙:22/喫煙:18)"
16,ＪＲ新大阪店 | ドトールコーヒー,大阪府,大阪市,淀川区西中島５丁目ＪＲ新大阪駅内,新大阪駅徒歩2分以上,06-6303-8500,"平日:06:30 - 22:30
土曜日:06:30 - 22:30
日祝:06:30 - 21:30",http://sasp.mapion.co.jp/b/doutor/info/02011270/,TRUE,TRUE,TRUE,FALSE,34.7338156,135.5002404,"92席
(禁煙:59/喫煙:33)"
17,ＪＲ神戸店 | ドトールコーヒー,兵庫県,神戸市,中央区相生町３‐１‐２ＪＲ神戸駅ビエラ神戸,ハーバーランド駅徒歩3分以内,078-361-0202,"平日:06:50 - 22:00
土曜日:06:50 - 22:00
日祝:06:50 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/02011282/,TRUE,TRUE,TRUE,FALSE,34.678696,135.178319,"89席
(禁煙:66/喫煙:23)"
18,ＪＲ倉敷駅店 | ドトールコーヒー,岡山県,倉敷市,阿知１-１-１さんすて倉敷２Ｆ,倉敷駅徒歩3分以内,086-435-1188,"平日:07:30 - 21:30
土曜日:07:30 - 21:30
日祝:07:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011982/,TRUE,TRUE,TRUE,FALSE,34.6017638,133.7660031,"55席
(禁煙:44/喫煙:11)"
19,ＪＲ大阪駅梅三小路店 | ドトールコーヒー,大阪府,大阪市,北区梅田３‐２‐１３６,大阪駅徒歩1分以上,06-6345-5539,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011476/,TRUE,FALSE,FALSE,FALSE,34.7013728,135.4944378,"42席
(禁煙:42/喫煙:0)"
20,ＪＲ鳥取駅店 | ドトールコーヒー,鳥取県,鳥取市,東品治１１１-１,鳥取駅徒歩2分以上,0857-29-3120,"平日:06:30 - 21:00
土曜日:06:30 - 21:00
日祝:06:30 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/02011833/,TRUE,TRUE,TRUE,FALSE,35.4940945,134.2259203,"69席
(禁煙:54/喫煙:15)"
