id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,アスティ岐阜店 | エクセルシオール カフェ,岐阜県,岐阜市,橋本町１-１０ＪＲ岐阜駅構内アスティ岐阜２Ｆ,岐阜駅徒歩1分以上,058-262-3064,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000247/,TRUE,TRUE,TRUE,FALSE,35.409372,136.7579021,"88席
(禁煙:82/喫煙:6)"
1,アルカキット錦糸町店 | エクセルシオール カフェ,東京都,墨田区,錦糸２-２-１アルカキット錦糸町１Ｆ,錦糸町駅徒歩2分以上,03-5610-7235,"平日:07:00 - 23:00
土曜日:07:00 - 23:00
日祝:07:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000069/,TRUE,TRUE,TRUE,FALSE,35.6975056,139.8129241,"127席
(禁煙:84/喫煙:43)"
2,イトーヨーカドーららぽーと横浜店 | エクセルシオール カフェ,神奈川県,横浜市,都筑区池辺町４０３５‐１イトーヨーカドーららぽーと横浜２Ｆ,鴨居駅徒歩11分以上,045-938-7065,"平日:10:00 - 22:00
土曜日:10:00 - 22:00
日祝:10:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000225/,FALSE,FALSE,TRUE,FALSE,35.518223,139.56721,"51席
(禁煙:51/喫煙:0)"
3,イトーヨーカドー大宮宮原店 | エクセルシオール カフェ,埼玉県,さいたま市,北区宮原町１‐８５４‐１イトーヨーカドー大宮宮原店２Ｆ,加茂宮駅徒歩8分以上,048-654-2150,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000209/,TRUE,FALSE,TRUE,FALSE,35.932571,139.621885,"86席
(禁煙:58/喫煙:28)"
4,ウィング久里浜店 | エクセルシオール カフェ,神奈川県,横須賀市,久里浜４‐４‐１０ウィング久里浜２Ｆ,京急久里浜駅徒歩3分以内,046-876-5581,"平日:06:30 - 22:00
土曜日:06:30 - 22:00
日祝:06:30 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000232/,TRUE,FALSE,TRUE,FALSE,35.2309006,139.7024107,"68席
(禁煙:62/喫煙:6)"
5,ウィング新橋店 | エクセルシオール カフェ,東京都,港区,新橋２丁目ウィング新橋東口地下街１号,新橋駅徒歩2分以上,03-3574-7241,"平日:07:00 - 23:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000223/,TRUE,FALSE,TRUE,FALSE,35.6662292,139.7591115,"134席
(禁煙:78/喫煙:56)"
6,お茶の水店 | エクセルシオール カフェ,東京都,千代田区,神田駿河台２‐１ユニオンビル１Ｆ,御茶ノ水駅徒歩5分以上,03-5283-9599,"平日:06:45 - 22:30
土曜日:07:00 - 21:00
日祝:07:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000030/,TRUE,TRUE,TRUE,FALSE,35.6998898,139.762213,"83席
(禁煙:61/喫煙:22)"
7,さいたま新都心ランド・アクシス・タワー店 | エクセルシオール カフェ,埼玉県,さいたま市,中央区新都心１１‐２ランド・アクシス・タワー２Ｆ,さいたま新都心駅徒歩1分以上,048-600-3686,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000074/,TRUE,FALSE,TRUE,FALSE,35.8934035,139.6325374,"53席
(禁煙:30/喫煙:23)"
8,シーフォートスクエア店 | エクセルシオール カフェ,東京都,品川区,東品川２‐３‐１０シーフォートスクエア１Ｆ,天王洲アイル駅徒歩1分以上,03-5463-7044,"平日:07:00 - 22:30
土曜日:08:00 - 22:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000003/,TRUE,FALSE,TRUE,FALSE,35.6237738,139.7508669,"76席
(禁煙:25/喫煙:51)"
9,デュオこうべ店 | エクセルシオール カフェ,兵庫県,神戸市,中央区東川崎町１‐２‐３デュオこうべ内,ハーバーランド駅徒歩1分以上,078-351-2932,"平日:07:00 - 21:00
土曜日:07:30 - 21:30
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000028/,TRUE,TRUE,TRUE,FALSE,34.6798466,135.1788633,"91席
(禁煙:63/喫煙:28)"
