id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng,chair
0,鹿児島鹿屋店 | 珈琲所コメダ珈琲店,鹿児島県,鹿屋市,笠之原1番1号,鹿屋市役所から徒歩3.4km,0994-40-8008,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=809,TRUE,FALSE,TRUE,FALSE,31.3893448,130.882169,"104席
(禁煙:80/喫煙:24)"
1,南さつま加世田店 | 珈琲所コメダ珈琲店,鹿児島県,南さつま市,加世田地頭所町25-5,南さつま市役所徒歩13分,0993-52-6055,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=863,TRUE,FALSE,TRUE,FALSE,31.4237527,130.3226932,"74席
(禁煙:54/喫煙:20)"
2,鹿児島七ツ島店 | 珈琲所コメダ珈琲店,鹿児島県,鹿児島市,七ツ島1丁目66-1,五位野駅徒歩19分以上,099-296-7077,08:30〜22:00,http://www.komeda.co.jp/search/shopdetail.php?id=825,TRUE,FALSE,TRUE,FALSE,31.4855056,130.5115477,"98席
(禁煙:78/喫煙:20)"
3,イオンモール鹿児島前店 | 珈琲所コメダ珈琲店,鹿児島県,鹿児島市,東開町3番地65,上塩屋駅徒歩11分以上,099-260-2777,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=791,TRUE,FALSE,TRUE,FALSE,31.5298214,130.5352836,"96席
(禁煙:70/喫煙:26)"
4,鹿児島天文館店 | 珈琲所コメダ珈琲店,鹿児島県,鹿児島市,東千石町13番3号VISIONBILD1F,天文館通駅徒歩3分以内,099-208-2227,07:00〜23:00※金･土･休前日07:00〜01:00,http://www.komeda.co.jp/search/shopdetail.php?id=849,TRUE,TRUE,TRUE,FALSE,31.590748,130.554498,"108席
(禁煙:74/喫煙:34)"
5,鹿児島吉野店 | 珈琲所コメダ珈琲店,鹿児島県,鹿児島市,吉野2丁目31-30,竜ヶ水駅徒歩49分以上,099-295-7105,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=827,TRUE,FALSE,TRUE,FALSE,31.6572645,130.5678958,"104席
(禁煙:80/喫煙:24)"
6,都城前田店 | 珈琲所コメダ珈琲店,宮崎県,都城市,前田町3街区3号,都城駅徒歩13分以上,0986-46-1571,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=824,TRUE,FALSE,TRUE,FALSE,31.729784,131.0676402,"98席
(禁煙:74/喫煙:24)"
7,イオンタウン姶良店 | 珈琲所コメダ珈琲店,鹿児島県,姶良市,東餅田336,帖佐駅徒歩12分以上,0995-66-6630,10:00〜21:00,http://www.komeda.co.jp/search/shopdetail.php?id=826,TRUE,FALSE,TRUE,FALSE,31.7345416,130.6300682,"117席
(禁煙:86/喫煙:31)"
8,鹿児島国分店 | 珈琲所コメダ珈琲店,鹿児島県,霧島市,国分野口町4-26,隼人駅徒歩15分以上,0995-45-7887,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=786,TRUE,FALSE,TRUE,FALSE,31.738185,130.7498211,"102席
(禁煙:74/喫煙:28)"
9,鹿児島川内店 | 珈琲所コメダ珈琲店,鹿児島県,薩摩川内市,上川内4231-1,上川内駅徒歩6分以上,0996-20-8211,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=814,TRUE,FALSE,TRUE,FALSE,31.8337814,130.2872621,"106席
(禁煙:80/喫煙:26)"
10,宮崎恒久店 | 珈琲所コメダ珈琲店,宮崎県,宮崎市,恒久4378番-1,南宮崎駅徒歩8分以上,0985-34-9032,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=776,TRUE,FALSE,TRUE,FALSE,31.894839,131.4289464,"98席
(禁煙:70/喫煙:28)"
11,宮崎柳丸店 | 珈琲所コメダ珈琲店,宮崎県,宮崎市,柳丸町140番地,宮崎駅徒歩17分以上,0985-41-5075,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=775,TRUE,FALSE,TRUE,FALSE,31.9262216,131.4356089,"98席
(禁煙:70/喫煙:28)"
12,鹿児島出水店 | 珈琲所コメダ珈琲店,鹿児島県,出水市,米ノ津町6番12号,米ノ津駅徒歩9分以上,0996-64-8339,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=872,TRUE,FALSE,TRUE,FALSE,32.1164081,130.340042,"74席
(禁煙:54/喫煙:20)"
13,フレスポ福田店 | 珈琲所コメダ珈琲店,長崎県,長崎市,小浦町714-8フレスポ福田West,浦上駅徒歩57分以上,095-801-2090,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=869,TRUE,FALSE,TRUE,FALSE,32.7474343,129.8254316,"88席
(禁煙:70/喫煙:18)"
14,イオンタウン田崎店 | 珈琲所コメダ珈琲店,熊本県,熊本市,西区田崎町字下寄380番地,田崎橋駅徒歩12分以上,096-245-6788,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=682,TRUE,FALSE,TRUE,FALSE,32.7835823,130.6785408,"96席
(禁煙:78/喫煙:18)"
15,熊本桜木店 | 珈琲所コメダ珈琲店,熊本県,熊本市,東区桜木6丁目7番1号,健軍町駅徒歩31分以上,096-234-7367,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=619,TRUE,FALSE,TRUE,FALSE,32.7900496,130.7805901,"112席
(禁煙:82/喫煙:30)"
16,長崎時津店 | 珈琲所コメダ珈琲店,長崎県,西彼杵郡,時津町日並郷1300-30,高田駅徒歩74分以上,095-801-2103,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=779,TRUE,FALSE,TRUE,FALSE,32.8502945,129.8258284,"100席
(禁煙:78/喫煙:22)"
17,熊本大窪店 | 珈琲所コメダ珈琲店,熊本県,熊本市,北区大窪2丁目10番8号,西里駅徒歩12分以上,096-342-6518,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=650,TRUE,FALSE,TRUE,FALSE,32.8547097,130.709874,"104席
(禁煙:76/喫煙:28)"
18,熊本合志店 | 珈琲所コメダ珈琲店,熊本県,合志市,幾久富1909-807,武蔵塚駅徒歩20分以上,096-285-9617,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=804,TRUE,FALSE,TRUE,FALSE,32.8622621,130.769059,"94席
(禁煙:72/喫煙:22)"
19,熊本菊池店 | 珈琲所コメダ珈琲店,熊本県,菊池市,北宮334-1,御代志駅から12.3km,0968-24-7060,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=823,TRUE,FALSE,TRUE,FALSE,32.9745471,130.8088336,"98席
(禁煙:76/喫煙:22)"
20,佐世保駅前店 | 珈琲所コメダ珈琲店,長崎県,佐世保市,潮見町9-7,佐世保駅徒歩5分以上,0956-59-5453,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=846,TRUE,FALSE,TRUE,FALSE,33.1622284,129.729684,"94席
(禁煙:76/喫煙:18)"
21,ゆめモール柳川店 | 珈琲所コメダ珈琲店,福岡県,柳川市,三橋町蒲船津1406番地7,西鉄柳川駅徒歩7分以上,0944-77-6001,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=621,TRUE,FALSE,TRUE,FALSE,33.1668807,130.4248232,"102席
(禁煙:76/喫煙:26)"
22,ゆめモール筑後店 | 珈琲所コメダ珈琲店,福岡県,筑後市,前津土地区画整理事業区域内10画地,羽犬塚駅徒歩23分以上,0942-52-0811,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=719,TRUE,FALSE,TRUE,FALSE,33.2171695,130.5129272,"100席
(禁煙:76/喫煙:24)"
23,大分明野店 | 珈琲所コメダ珈琲店,大分県,大分市,明野東2丁目32番20号,高城駅徒歩28分以上,097-573-1800,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=697,TRUE,FALSE,TRUE,FALSE,33.2247943,131.6594379,"98席
(禁煙:80/喫煙:18)"
24,大分志手椎迫店 | 珈琲所コメダ珈琲店,大分県,大分市,大字三芳2037-1,南大分駅徒歩19分以上,097-573-5058,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=800,TRUE,FALSE,TRUE,FALSE,33.2252862,131.5917908,"100席
(禁煙:76/喫煙:24)"
25,大分中央町店 | 珈琲所コメダ珈琲店,大分県,大分市,中央町2丁目3-4,大分駅徒歩4分以上,097-532-7007,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=837,TRUE,TRUE,TRUE,FALSE,33.2361523,131.6062668,"84席
(禁煙:68/喫煙:16)"
26,佐賀兵庫店 | 珈琲所コメダ珈琲店,佐賀県,佐賀市,兵庫北3丁目7-14,佐賀駅徒歩12分以上,0952-97-7084,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=608,TRUE,FALSE,TRUE,FALSE,33.2680623,130.3059681,"100席
(禁煙:78/喫煙:22)"
27,久留米大石町店 | 珈琲所コメダ珈琲店,福岡県,久留米市,大石町256-2,久留米駅徒歩12分以上,0942-31-1131,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=625,TRUE,FALSE,TRUE,FALSE,33.313484,130.4956856,"98席
(禁煙:70/喫煙:28)"
28,久留米インター店 | 珈琲所コメダ珈琲店,福岡県,久留米市,東合川2丁目5番11号,久留米大学前駅徒歩14分以上,0942-65-5180,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=628,TRUE,FALSE,TRUE,FALSE,33.3201537,130.5494562,"126席
(禁煙:94/喫煙:32)"
29,ゆめタウン久留米店 | 珈琲所コメダ珈琲店,福岡県,久留米市,新合川1丁目2-1,五郎丸駅徒歩13分以上,0942-27-7781,09:30〜22:00,http://www.komeda.co.jp/search/shopdetail.php?id=718,TRUE,FALSE,TRUE,FALSE,33.3217812,130.5384903,"94席
(禁煙:80/喫煙:14)"
30,鳥栖弥生が丘店 | 珈琲所コメダ珈琲店,佐賀県,鳥栖市,弥生が丘6丁目5,弥生が丘駅徒歩9分以上,0942-50-6111,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=622,TRUE,FALSE,TRUE,FALSE,33.4018419,130.5211199,"100席
(禁煙:80/喫煙:20)"
31,福岡甘木店 | 珈琲所コメダ珈琲店,福岡県,朝倉市,甘木156-1,甘木駅徒歩9分以上,0946-23-8483,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=829,TRUE,FALSE,TRUE,FALSE,33.4159714,130.661393,"96席
(禁煙:72/喫煙:24)"
32,唐津和多田店 | 珈琲所コメダ珈琲店,佐賀県,唐津市,和多田先石4番2-2号,和多田駅徒歩1分以上,0955-58-8312,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=781,TRUE,FALSE,TRUE,FALSE,33.4366533,129.9816243,"98席
(禁煙:78/喫煙:20)"
33,ゆめタウン筑紫野店 | 珈琲所コメダ珈琲店,福岡県,筑紫野市,針摺東3丁目2番3号,朝倉街道駅徒歩7分以上,092-923-7211,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=578,TRUE,FALSE,TRUE,FALSE,33.4856324,130.5384088,"100席
(禁煙:68/喫煙:32)"
34,福岡那珂川店 | 珈琲所コメダ珈琲店,福岡県,筑紫郡,那珂川町片縄2丁目142番地,博多南駅徒歩17分以上,092-555-7915,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=815,TRUE,FALSE,TRUE,FALSE,33.5149073,130.4244264,"100席
(禁煙:80/喫煙:20)"
35,土佐道路店 | 珈琲所コメダ珈琲店,高知県,高知市,針木東町26番26号,朝倉神社前駅徒歩31分以上,088-855-8300,07:00〜23:00,http://www.komeda.co.jp/search/shopdetail.php?id=867,TRUE,FALSE,TRUE,FALSE,33.5326632,133.4755574,"102席
(禁煙:82/喫煙:20)"
