id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng,chair
0,キラリス函館店 | PRONTO,北海道,函館市,若松町20番1号キラリス函館１F,函館駅前駅徒歩3分以内,0138-22-2221,"平日：カフェ7:00〜17:30
土曜：カフェ8:00〜17:30
日曜：カフェ8:00〜17:30
祝日：カフェ8:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=PR00001007,TRUE,FALSE,TRUE,FALSE,41.7728914,140.7286837,73席
1,札幌駅地下街店 | PRONTO,北海道,札幌市,中央区北５条西４丁目札幌駅南口広場地下街,札幌駅徒歩2分以上,011-209-3432,"平日：カフェ7:00〜17:30
土曜：カフェ7:00〜17:30
日曜：カフェ7:30〜17:30
祝日：カフェ7:30〜17:30",https://www.pronto.co.jp/shop/detail?shopid=0112093432,TRUE,FALSE,TRUE,FALSE,43.0663341,141.3507569,63席
2,さっぽろポールタウン店 | PRONTO,北海道,札幌市,中央区南３条西３丁目さっぽろ地下街ポールタウン内,すすきの駅徒歩2分以上,011-261-7166,"平日：カフェ7:00〜17:30
土曜：カフェ7:00〜17:30
日曜：カフェ7:00〜17:30
祝日：カフェ7:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=0112617166,TRUE,FALSE,TRUE,FALSE,43.057116,141.353262,95席
3,新さっぽろ店 | PRONTO,北海道,札幌市,厚別区厚別中央２条５丁目６番２号デュオ㈵２Ｆ,新札幌駅徒歩3分以内,011-890-2569,"平日：カフェ7:00〜17:30
土曜：カフェ7:00〜17:30
日曜：カフェ7:00〜17:30
祝日：カフェ7:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=0118902569,TRUE,FALSE,TRUE,FALSE,43.03842,141.472827,71席
4,新千歳空港店 | PRONTO,北海道,千歳市,美々新千歳空港旅客タ−ミナルビル4F,新千歳空港駅徒歩1分以上,0123-45-3123,"平日：カフェ7:30〜17:30
土曜：カフェ7:30〜17:30
日曜：カフェ7:30〜17:30
祝日：カフェ7:30〜17:30",https://www.pronto.co.jp/shop/detail?shopid=0123493401,TRUE,FALSE,TRUE,FALSE,42.7885122,141.6810434,84席
5,盛岡フェザン店 | PRONTO,岩手県,盛岡市,盛岡駅前通1-44盛岡フェザンB1めんこい横丁内,盛岡駅徒歩1分以上,019-604-2281,"平日：カフェ7:00〜17:30
土曜：カフェ8:00〜17:30
日曜：カフェ8:00〜17:30
祝日：カフェ8:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=PR00002007,FALSE,TRUE,TRUE,FALSE,39.7017377,141.1369992,86席
6,仙台青葉通り店 | PRONTO,宮城県,仙台市,青葉区中央２−３−６読売仙台ビル１Ｆ,広瀬通駅徒歩3分以上,022-722-3330,"平日：カフェ7:00〜17:30
土曜：カフェ8:00〜17:30
日曜：カフェ8:00〜17:30
祝日：カフェ8:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=0227223330,TRUE,FALSE,TRUE,FALSE,38.2606217,140.875673,87席
7,仙台国際空港店 | PRONTO,宮城県,名取市,下増田字南原無番地仙台空港旅客ターミナルビル1F,館腰駅徒歩64分以上,022-738-9634,"平日：カフェ6:30〜17:30
土曜：カフェ6:30〜17:30
日曜：カフェ6:30〜17:30
祝日：カフェ6:30〜17:30",https://www.pronto.co.jp/shop/detail?shopid=PR00002009,FALSE,FALSE,FALSE,FALSE,38.1378469,140.92942,86席
8,仙台セルバテラス店 | PRONTO,宮城県,仙台市,泉区泉中央1-6-3,泉中央駅徒歩2分以上,022-347-4434,"平日：カフェ7:00〜17:30
土曜：カフェ8:00〜17:30
日曜：カフェ8:00〜17:30
祝日：カフェ8:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=PR00002008,TRUE,FALSE,TRUE,FALSE,38.3245753,140.8809317,95席
9,秋田オーパ店 | PRONTO,秋田県,秋田市,千秋久保田町4-22F,秋田駅徒歩4分以上,018-838-6177,"平日：カフェ10:00〜17:30
土曜：カフェ10:00〜17:30
日曜：カフェ10:00〜17:30
祝日：カフェ10:00〜17:30",https://www.pronto.co.jp/shop/detail?shopid=PR00002010,FALSE,FALSE,TRUE,FALSE,39.720049,140.1283833,59席
