id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon,chair
0,ニュー秋葉原店 | マイ・スペース,東京都,千代田区,外神田1-16-10ニュー秋葉原センタービル地下1階,JR秋葉原駅電気街口出てワシントンホテル方面徒歩1分,03-3251-0210,"月-土：9：00-22：00
日祭日：9：00-21：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2048,TRUE,TRUE,TRUE,FALSE,35.697417,139.772689,81席(禁煙:51席/喫煙:30席)
1,ニュー新宿３丁目店 | マイ・スペース ,東京都,新宿区,新宿3-4-1東新宿ビル地下2階,都営地下鉄新宿3丁目駅徒歩0分,03-3355-1299,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2121,TRUE,TRUE,TRUE,FALSE,35.690739,139.7055,
2,横浜関内駅前店 | マイ・スペース ,神奈川県,横浜市,中区港町2-6横浜関内ビル2階,JR関内駅南口徒歩0分スタジアム側下りてすぐ関内駅前ビル2階,045-641-0223,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2078,TRUE,TRUE,TRUE,TRUE,35.4440838,139.6367212,
3,銀座６丁目店 | マイ・スペース ,東京都,中央区,銀座6-12-10旭ビル1階,地下鉄銀座線銀座駅Ａ3出口徒歩約4分、中央通りを新橋方面に進み、GINZASIXと銀座ライオンの間の道を左折して約100m直進左手,03-3574-7876,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2043,TRUE,TRUE,TRUE,FALSE,35.6688098,139.7642695,
4,銀座マロニエ通り店 | マイ・スペース ,東京都,中央区,銀座3丁目9番4号銀座草野ビルディング4階,銀座松屋デパート左手の銀座マロニエ通りを昭和通り方面へ進み右手天丼てんや角右折5ｍ右手ビル4Ｆ,03-6264-1259,全日:9:00-22:00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2007,TRUE,TRUE,TRUE,FALSE,35.6717697,139.7680227,
5,高田馬場駅前店 | マイ・スペース ,東京都,新宿区,高田馬場2-17-4菊月ビル地下1階,JR高田馬場駅東口徒歩1分,03-5292-5772,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2074,TRUE,TRUE,TRUE,TRUE,35.713444,139.705428,
6,四谷店 | マイ・スペース ,東京都,新宿区,四谷1-3-22,JR四ッ谷駅四ッ谷口より徒歩2分しんみち通り入口すぐ左,03-3351-1052,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2085,TRUE,TRUE,TRUE,FALSE,35.6863529,139.7290972,67席(禁煙:0席/喫煙:67席)
7,市ヶ谷駅前店 | マイ・スペース,東京都,千代田区,五番町4番地2東プレビル1階,JR総武線市ヶ谷駅から新坂を上り徒歩2分右側,03-3263-5980,"月-金：9：00-22：00
土曜日：9：00-21：30
日祭日：9：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2042,TRUE,TRUE,TRUE,FALSE,35.6903057,139.7354951,83席(禁煙:57席/喫煙:26席)
8,市ヶ谷外堀通り店 | マイ・スペース,東京都,新宿区,市谷田町1-3片倉ビル2階,JR総武線市ヶ谷駅から市ヶ谷橋を渡り市谷見附交差点を右に曲がりすぐ左手2階,03-5225-7665,"月-金:9:00-22:00
土曜日:9:00-21:30
日祭日:9:00-19:30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2022,TRUE,TRUE,TRUE,FALSE,35.6927191,139.7354449,76席(禁煙:50席/喫煙:26席)
9,秋葉原電気街口店 | マイ・スペース ,東京都,千代田区,外神田1-18-19新秋葉原ビルB1F,JR秋葉原駅電気街口でて徒歩0分,03-5577-5307,全日09：00-21：30,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2068,TRUE,TRUE,TRUE,FALSE,35.698739,139.771997,127席(禁煙:62席/喫煙:65席)
10,渋谷公園通り店 | マイ・スペース ,東京都,渋谷区,宇田川町19-5東京山手教会地下1階,JR渋谷駅ハチ公口徒歩3分公園通り中程,03-3770-2081,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2093,TRUE,TRUE,TRUE,FALSE,35.6617,139.699566,60席(禁煙:31席/喫煙:29席)
11,渋谷東口駅前店 | マイ・スペース,東京都,渋谷区,渋谷3-19-1オミビル地下1階,"JR渋谷駅東口より徒歩4分、地下鉄渋谷駅16b出口より徒歩2分
 
 明治通りを挟み渋谷警察署向かい角オミビルB1F",03-3498-1324,"月-土：9：00-22：00
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2047,TRUE,TRUE,TRUE,FALSE,35.657699,139.702697,62席(禁煙:27席/喫煙:35席)
12,新橋汐留口駅前店 | マイ・スペース,東京都,港区,新橋2丁目21番1号新橋駅前ビル2号館2階,JR新橋駅汐留口出てすぐ,03-3571-3077,"月-土:9:00-22:00
日祭日:9:00-20:00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2018,TRUE,TRUE,TRUE,FALSE,35.665539,139.7590186,95席(禁煙:43席/喫煙:52席)
13,新宿３丁目ビッグスビル店 | マイ・スペース,東京都,新宿区,新宿2-19-1ビッグスビル地下2階,都営地下鉄新宿3丁目駅徒歩1分ビックスビル地下2階,03-5379-2766,"月-土：9：00-22：00
日祭日：9：00-19：30
月-土：10：00-22：00
日祭日：10：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2103,TRUE,TRUE,TRUE,FALSE,35.691127,139.707678,70席(禁煙:26席/喫煙:44席)
14,新宿区役所横店 | マイ・スペース,東京都,新宿区,歌舞伎町１丁目３−５相模ビル1階及び2階,JR新宿駅東口徒歩7分 新宿区役所真裏,03-3209-6175,"月-土：9：00-23：00
日曜日：9：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2006,TRUE,TRUE,TRUE,FALSE,35.694505,139.703522,40席(禁煙:0席/喫煙:40席)
15,新宿小滝橋通り店 | マイ・スペース,東京都,新宿区,西新宿7-9-7新宿ニッカビル1階,JR新宿駅西口小滝橋通り馬場方面徒歩3分,03-3364-1618,"月-土：9：00-22：00
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2123,TRUE,TRUE,TRUE,FALSE,35.6949732,139.698061,123席(禁煙:54席/喫煙:69席)
16,新宿南口甲州街道店 | マイ・スペース ,東京都,新宿区,西新宿1-19-5新宿幸容ビルB1F,JR新宿南口徒歩5分甲州街道沿い,03-5381-5660,全日:9:00-22:00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2088,TRUE,TRUE,TRUE,FALSE,35.688215,139.697174,90席(禁煙:30席/喫煙:60席)
17,神田南口駅前店 | マイ・スペース,東京都,千代田区,鍛冶町2-1-4東和ビル2階,JR神田駅南口を出てすぐ前,03-5289-8456,"月-土：9：00-22：00
日祭日：9：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2122,TRUE,TRUE,TRUE,FALSE,35.6911807,139.7712183,82席(禁煙:44席/喫煙:38席)
18,西日暮里第一店 | マイ・スペース ,東京都,荒川区,西日暮里5-23-6ホワイトハウス2階,JR西日暮里駅東口駅前,03-3801-2230,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2045,TRUE,TRUE,TRUE,FALSE,35.732044,139.767608,50席(禁煙:0席/喫煙:50席)
19,川崎東口駅前店 | マイ・スペース ,神奈川県,川崎市,川崎区駅前本町11-1パシフィックマークス川崎2F,"JR川崎駅東口より徒歩2分
 
 京急川崎駅より徒歩3分",044-589-5730,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2020,TRUE,TRUE,TRUE,TRUE,35.5316938,139.6990349,93席(禁煙:32席/喫煙:61席)
20,巣鴨駅前店 | マイ・スペース ,東京都,豊島区,巣鴨1-15-1宮田ビル2階,JR巣鴨駅南口徒歩0分ロータリー左手パチンコ店2階,03-3942-9349,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2104,TRUE,TRUE,TRUE,FALSE,35.7331841,139.7399226,84席(禁煙:32席/喫煙:52席)
