id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon
0,札幌北野店 | スターバックス,北海道,札幌市,清田区北野6条5丁目6-36,大谷地駅／４出口 徒歩23分,011-888-0035,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=1431,TRUE,TRUE,FALSE,FALSE,43.0154093,141.4515481
1,イオンモール札幌平岡店 | スターバックス,北海道,札幌市,清田区平岡三条5丁目3-1イオンモール札幌平岡,北広島インターチェンジより 約4.2km,011-889-5098,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=751,TRUE,FALSE,FALSE,FALSE,42.997239,141.458711
2,札幌石山店 | スターバックス,北海道,札幌市,南区石山2条9丁目7-50アクロスプラザ札幌南,メモ：・石山通り,011-594-2640,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=793,TRUE,TRUE,FALSE,FALSE,42.9604697,141.3147652
3,イオンモール札幌苗穂店 | スターバックス,北海道,札幌市,東区東苗穂2条3丁目1-1イオンモール札幌苗穂,雁来インターチェンジより 約2kmメモ：国道275線沿い,011-780-7679,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=505,TRUE,FALSE,FALSE,FALSE,43.0798532,141.4038107
4,函館ベイサイド店 | スターバックス,北海道,函館市,末広町24−6函館西波止場,函館駅北口 徒歩20分メモ：・函館ベイエリア 函館西波止場並び,0138-21-4522,08:00〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=1012,TRUE,TRUE,FALSE,FALSE,41.766429,140.715208
5,函館蔦屋書店 | スターバックス,北海道,函館市,石川町85-1,函館より 約2.6kmメモ：電車 桔梗駅から 徒歩 約30分バス 昭和停留所から 徒歩10分,0138-47-2246,07:00〜25:00,http://www.starbucks.co.jp/store/search/detail.php?id=2046,TRUE,TRUE,FALSE,FALSE,41.8307065,140.7356571
6,イオンモール苫小牧店 | スターバックス,北海道,苫小牧市,柳町3-1-20イオンモール苫小牧,沼ノ端西インターチェンジより 約7.1km,0144-51-3347,09:00〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=612,TRUE,TRUE,FALSE,FALSE,42.65633,141.642023
7,札幌グランドホテル店 | スターバックス,北海道,札幌市,中央区北1条西4丁目札幌グランドホテル1F,札幌駅／１１出口 徒歩4分札幌駅／１０出口 徒歩5分大通駅／７出口 徒歩5分,011-222-8060,"月〜金：07:00〜22:00
土日祝：07:30〜22:00",http://www.starbucks.co.jp/store/search/detail.php?id=333,TRUE,TRUE,FALSE,FALSE,43.0629881,141.3511041
8,札幌ステラプレイス イースト2階店 | スターバックス,北海道,札幌市,中央区北5条西2丁目5,札幌駅／バス停口出口 徒歩2分札幌駅／アピア地下街出入口出口 徒歩2分札幌駅／南口出口 徒歩2分,011-209-5554,10:00〜21:00,http://www.starbucks.co.jp/store/search/detail.php?id=1166,TRUE,TRUE,FALSE,FALSE,43.0682756,141.3524456
9,札幌紀伊國屋書店 | スターバックス,北海道,札幌市,中央区北5条西5丁目7sapporo55紀伊國屋書店内2階,さっぽろ駅／アピア地下街出入口出口 徒歩1分さっぽろ駅／アピア地下街Ａ出口 徒歩2分さっぽろ駅／アピア地下街Ｂ出口 徒歩2分,011-218-3351,10:00〜21:00,http://www.starbucks.co.jp/store/search/detail.php?id=1217,TRUE,TRUE,FALSE,FALSE,43.0672488,141.3485092
10,札幌ステラプレイス センター1階店 | スターバックス,北海道,札幌市,中央区北5条西2丁目5JRタワー「ステラプレイス」,札幌駅／南口出口 徒歩1分札幌駅／アピア地下街Ｓ−１３出口 徒歩1分札幌駅／アピア地下街Ｓ−１４出口 徒歩1分メモ：札幌JRタワー内,011-209-5305,07:00〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=451,TRUE,TRUE,FALSE,FALSE,43.0681096,141.3518038
11,イオン札幌桑園店 | スターバックス,北海道,札幌市,中央区北8条西14丁目28イオン札幌桑園ショッピングセンター,桑園駅／東口出口 徒歩4分桑園駅／西口出口 徒歩5分,011-204-7254,08:00〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=441,TRUE,TRUE,FALSE,FALSE,43.069414,141.3333108
12,札幌パルコ店 | スターバックス,北海道,札幌市,中央区南1条西3丁目3札幌パルコ,大通駅／ポールタウン２出口 徒歩2分大通駅／ポールタウン４出口 徒歩2分大通駅／ポールタウン３出口 徒歩3分メモ：・駅前大通り沿い,011-214-2300,07:30〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=846,TRUE,TRUE,FALSE,FALSE,43.058767,141.353181
13,札幌南一条店 | スターバックス,北海道,札幌市,中央区南1条西2丁目5南一条Ｋビル1F,大通駅／３６出口 徒歩2分大通駅／３５出口 徒歩2分大通駅／３３出口 徒歩2分メモ：丸井今井デパート一条館の前、新生銀行の隣,011-221-1216,07:30〜22:00,http://www.starbucks.co.jp/store/search/detail.php?id=373,TRUE,TRUE,FALSE,FALSE,43.0589469,141.3547749
14,札幌パセオ店 | スターバックス,北海道,札幌市,北区北6条西4丁目3-1パセオ,さっぽろ駅／パセオ方面口出口 徒歩2分札幌駅／１出口 徒歩2分さっぽろ駅／北口出口 徒歩2分メモ：ＪＲ札幌駅西改札みどりの窓口奥,011-213-5623,07:00〜23:00,http://www.starbucks.co.jp/store/search/detail.php?id=1003,TRUE,TRUE,FALSE,FALSE,43.0684288,141.3487029
15,札幌医科大学附属病院店 | スターバックス,北海道,札幌市,中央区南1条西16丁目札幌医科大学附属病院,西１８丁目駅／５出口 徒歩7分西１８丁目駅／６出口 徒歩8分西１８丁目駅／４出口 徒歩9分メモ：・札幌医科大学附属病院内,011-632-8055,"月〜金：07:00〜20:00
土日祝：08:00〜19:00",http://www.starbucks.co.jp/store/search/detail.php?id=788,TRUE,FALSE,FALSE,FALSE,43.0552113,141.3334481
16,北広島大曲店 | スターバックス,北海道,北広島市,大曲幸町6−1インターヴィレッジ大曲,北広島インターチェンジより 約2.3kmメモ：・羊が丘通り沿い,011-370-5315,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=855,TRUE,TRUE,FALSE,FALSE,42.969687,141.46963
17,札幌美園店 | スターバックス,北海道,札幌市,豊平区美園3条6丁目2-18,美園駅2番出口 徒歩9分白石駅4番出口 徒歩14分,011-820-1335,07:00〜24:00,http://www.starbucks.co.jp/store/search/detail.php?id=1051,TRUE,TRUE,FALSE,FALSE,43.040593,141.3893135
