id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng
0,イオンモール旭川西店 | タリーズコーヒー,北海道,旭川市,緑町23-2161-3イオンモール旭川西店1F,近文駅徒歩7分以上,0166-59-7313,"平日：9:00〜22:00
土：9:00〜22:00
日祝：9:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=189,TRUE,FALSE,TRUE,FALSE,43.793938,142.326353
1,イオン札幌麻生店 | タリーズコーヒー,北海道,札幌市,北区北39条西4-1-5イオン札幌麻生店1F,麻生駅徒歩2分以上,011-299-8084,"平日：8:00〜21:00
土：8:00〜21:00
日祝：8:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=863,FALSE,FALSE,TRUE,FALSE,43.1072495,141.3397108
2,カテプリ新さっぽろ店 | タリーズコーヒー,北海道,札幌市,厚別区厚別中央2条5丁目7番カテプリ新さっぽろ店1F,新さっぽろ駅徒歩2分以上,011-398-7011,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=859,FALSE,FALSE,FALSE,FALSE,43.0374735,141.4727177
3,サッポロファクトリー店 | タリーズコーヒー,北海道,札幌市,中央区北2条東4丁目,バスセンター前駅徒歩6分以上,011-218-2266,"平日：9:00〜21:30
土：9:30〜21:30
日祝：9:30〜21:30",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=360,TRUE,FALSE,TRUE,TRUE,43.0656845,141.3630421
4,旭川赤十字病院店 | タリーズコーヒー,北海道,旭川市,曙1条1-1-1,旭川駅徒歩16分以上,0166-21-6228,"平日：7:30〜19:30
土：8:30〜18:00
日祝：8:30〜18:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=421,FALSE,FALSE,FALSE,FALSE,43.7696295,142.3483043
5,釧路店 | タリーズコーヒー,北海道,釧路市,末広町3-1-1パステルパーク1F,釧路駅徒歩11分以上,0154-32-0321,"平日：9:30〜23:30
土：9:30〜23:30
日祝：9:30〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=166,TRUE,FALSE,TRUE,FALSE,42.9837202,144.3858241
6,札幌 IKEUCHI GATE店 | タリーズコーヒー,北海道,札幌市,中央区南1条西2丁目18番地IKEUCHIGATE2F,大通駅徒歩2分以上,011-206-1140,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=806,TRUE,FALSE,TRUE,FALSE,43.0596156,141.3541681
7,札幌ＳＴＶ北２条店 | タリーズコーヒー,北海道,札幌市,中央区北2条西2-15STV北2条ビル1F,さっぽろ駅徒歩3分以上,011-204-6088,"平日：7:30〜21:00
土：8:00〜19:30
日祝：9:00〜19:30",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=132,TRUE,FALSE,TRUE,TRUE,43.0638415,141.3541828
8,札幌ステラプレイス店 | タリーズコーヒー,北海道,札幌市,中央区北5条西2-5札幌ステラプレイス6F,札幌駅徒歩2分以上,011-252-2261,"平日：10:00〜22:00
土：10:00〜22:00
日祝：10:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=105,TRUE,FALSE,TRUE,FALSE,43.0678872,141.3518986
9,札幌ちえりあ店 | タリーズコーヒー,北海道,札幌市,西区宮の沢1条1丁目1-10,宮の沢駅徒歩4分以上,011-669-1011,"平日：8:30〜2000
土：8:30〜20:00
日祝：8:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=866,FALSE,TRUE,FALSE,TRUE,43.0883006,141.2744234
10,札幌徳洲会病院店 | タリーズコーヒー,北海道,札幌市,厚別区大谷地東1丁目1-1,大谷地駅徒歩6分以上,011-890-0065,"平日：7：30〜19：00
土：7:30〜18:00
日祝：10:00〜18:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=585,FALSE,FALSE,FALSE,TRUE,43.0292161,141.4478893
11,札幌日本生命ビル店 | タリーズコーヒー,北海道,札幌市,中央区北3条西4丁目1-1,札幌駅徒歩4分以上,011-290-2900,"平日：8：00〜20：00
土：9：00〜19：00
日祝：10：00〜18：00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=446,TRUE,FALSE,TRUE,TRUE,43.0650314,141.3499099
12,三井アウトレットパーク札幌北広島店 | タリーズコーヒー,北海道,北広島市,大曲幸町3丁目7−6三井アウトレットパーク札幌北広島2F,上野幌駅徒歩74分以上,011-377-2451,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=453,TRUE,FALSE,TRUE,FALSE,42.9709593,141.4712745
13,市立釧路総合病院店 | タリーズコーヒー,北海道,釧路市,春湖台1番12号1階,東釧路駅徒歩30分以上,0154-43-0003,"平日：7：30〜19：00
土：8：30〜17：00
日祝：8：30〜17：00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=519,FALSE,FALSE,FALSE,FALSE,42.9769812,144.4036699
