id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon,chair
0,六本木テレ朝通り店 | 上島珈琲店,東京都,港区,西麻布3-2-1北辰不動産ビル1F,六本木駅徒歩5分,03-5785-1218,"平日7:30～21:00
土日祝11:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=4016,FALSE,TRUE,TRUE,TRUE,43.061315,141.354068,"46席
(禁煙:38/喫煙:8)"
1,流山おおたかの森ＳＣ店 | 上島珈琲店,千葉県,流山市,西初石6-185-2流山おおたかの森SC2F,豊四季駅徒歩20分,04-7178-3022,"平日10:00～21:00
土日祝10:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3682,FALSE,FALSE,TRUE,FALSE,43.06765,141.349401,"56席
(禁煙:42/喫煙:14)"
2,名古屋伏見店 | 上島珈琲店,愛知県,名古屋市,中区栄1-5-8藤田ビル1F,伏見駅徒歩1分,052-219-7440,"平日7:00～21:30
土日祝8:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3640,TRUE,FALSE,TRUE,FALSE,43.06765,141.349401,"44席
(禁煙:20/喫煙:24)"
3,麻布十番店 | 上島珈琲店,東京都,港区,麻布十番2-1-8麻布十番グランドメゾン1F,麻布十番駅徒歩3分以内,03-5730-1543,"平日7:00～22:00
土日祝7:00～22:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3653,FALSE,TRUE,TRUE,TRUE,43.068275,141.352445,"62席
(禁煙:40/喫煙:22)"
4,本店 | 上島珈琲店,兵庫県,西宮市,南越木岩町6-12リーストラクチャー苦楽園1F,苦楽園口駅徒歩2分,0798-75-6605,8:00～22:00,https://shop.ufs.co.jp/ufs/spot/detail?code=3614,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"106席
(禁煙:82/喫煙:24)"
5,本郷三丁目店 | 上島珈琲店,東京都,文京区,本郷2-40-15日光屋ビル1階・2階,本郷三丁目駅徒歩3分以内,03-5840-8747,"平日7:00～22:00
土7:00～22:00
日祝8:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3676,FALSE,TRUE,FALSE,FALSE,43.037965,141.471681,"70席
(禁煙:50/喫煙20)"
6,福岡新天町店 | 上島珈琲店,福岡県,福岡市,中央区天神2-8-221,西鉄福岡駅徒歩1分,092-725-7736,"平日8:00～21:00
土日祝8:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=4010,FALSE,FALSE,TRUE,FALSE,43.001602,144.381026,"70席
(禁煙:54/喫煙:16)"
7,武蔵小山店 | 上島珈琲店,東京都,品川区,小山3-23-2,武蔵小山駅徒歩2分,03-5751-7243,"平日7:30～22:00
土日祝7:30～22:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3630,FALSE,FALSE,FALSE,TRUE,38.261142,140.87401,"100席
(禁煙:65/喫煙:35)"
8,武蔵小金井店 | 上島珈琲店,東京都,小金井市,本町6-14-45ＪＲ武蔵小金井南口ビル2F,武蔵小金井駅徒歩1分,042-380-5501,"平日10:00～22:00
土日祝10:00～22:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3661,FALSE,TRUE,FALSE,FALSE,38.261088,140.876044,40席
9,品川シーサイド店 | 上島珈琲店,東京都,品川区,東品川4-12-8品川シーサイドイーストタワー1F,品川シーサイド駅徒歩1分,03-5783-1707,"平日7:30～21:00
土日祝8:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3618,TRUE,TRUE,TRUE,FALSE,38.1381431,140.9303036,55席
10,飯塚病院店 | 上島珈琲店,福岡県,飯塚市,芳雄町3-83飯塚病院1F,新飯塚駅徒歩4分,0948-22-8878,"平日07:30～20:00
土日祝07:30～18:00",https://shop.ufs.co.jp/ufs/spot/detail?code=4019,FALSE,TRUE,FALSE,TRUE,38.163727,140.895813,37席
11,八重洲地下街店 | 上島珈琲店,東京都,中央区,八重洲2-1八重洲地下街南1号,京橋駅徒歩5分,03-5299-9205,"平日8:00～22:00
土日祝8:00～22:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3668,TRUE,FALSE,FALSE,TRUE,35.983498,140.235126,51席
12,八重洲一丁目店 | 上島珈琲店,東京都,中央区,八重洲1-3-7八重洲ファーストフィナンシャルビルB1F,三越前駅徒歩6分,03-6225-4661,"平日7:00～22:00
土曜9:00～20:00
日祝10:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3641,TRUE,FALSE,TRUE,TRUE,36.758043,139.598849,"89席
(禁煙:73/喫煙:16)"
13,日光東照宮店 | 上島珈琲店,栃木県,日光市,山内2301日光東照宮新宝物館1F,東武日光駅徒歩31分,0288-25-6811,"平日8:00～17:00
土日祝8:00～17:00（季節営業時間有）",https://shop.ufs.co.jp/ufs/spot/detail?code=3720,FALSE,FALSE,FALSE,FALSE,36.881835,140.037374,36席
