id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon,chair
0,府中フォーリス店 | カフェコンフォート,東京都,府中市,宮町1-41-1,府中競馬正門前駅徒歩7分,042-310-9278,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=522,FALSE,TRUE,TRUE,TRUE,43.061315,141.354068,38席
1,神戸さんちか店 | カフェコンフォート,兵庫県,神戸市,中央区三宮町1-10-1さんちかタウン内,三宮駅徒歩2分,078-391-5677,"平日7:30～21:00
土日祝7:30～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1201,FALSE,FALSE,TRUE,FALSE,43.06765,141.349401,78席
2,新潟バスセンター店 | カフェコンフォート,新潟県,新潟市,中央区万代1-6-1新潟バスセンター2F,新潟駅徒歩11分,025-249-5844,"平日8:00～20:00
土日祝8:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=602,TRUE,FALSE,TRUE,FALSE,43.06765,141.349401,"44席
(禁煙:20/喫煙:24)"
3,天満屋岡山店 | カフェコンフォート,岡山県,岡山市,北区表町2-1-1天満屋岡山店5F,県庁通り駅徒歩2分,086-231-7548,"平日10:00～19:30
土日祝10:00～19:30",https://shop.ufs.co.jp/ufs/spot/detail?code=1609,FALSE,TRUE,TRUE,TRUE,43.068275,141.352445,54席
4,大丸福岡天神店 | カフェコンフォート,福岡県,福岡市,中央区天神1-4-1博多大丸本館5F,天神南駅徒歩1分,092-736-6331,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=2517,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,32席
5,大丸札幌店 | カフェコンフォート,北海道,札幌市,中央区北５条西4丁目7番地大丸札幌店8Ｆ,札幌駅徒歩3分以内,011-828-1264,"平日10:00～22:00
土日祝10:00～22:00",https://shop.ufs.co.jp/ufs/spot/detail?code=116,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,48席
6,神戸市庁舎店 | カフェコンフォート,兵庫県,神戸市,中央区加納町6-5-1神戸市本庁舎1号館24F,三宮・花時計前駅徒歩3分,078-392-1185,"平日8:15～21:00
土日祝10:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1315,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,62席
7,松江一畑店 | カフェコンフォート,島根県,松江市,朝日町661一畑百貨店松江店3F,松江駅徒歩2分,0852-55-2600,"平日10:00～19:00
土日祝10:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=4906,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"40席
(禁煙:32/喫煙:8)"
8,所沢西武店 | カフェコンフォート,埼玉県,所沢市,日吉町12-1所沢西武1F,所沢駅徒歩1分,04-2929-2028,"平日10:00～20:30
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=351,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,54席
9,三省堂書店神保町本社ビル | カフェコンフォート,東京都,千代田区,神田神保町1-1三省堂書店神保町本店2F,神保町駅徒歩3分,03-3518-0280,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=358,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"73席
(禁煙:35/喫煙:38)"
10,三越新潟店 | カフェコンフォート,新潟県,新潟市,中央区西堀通5-866新潟三越店4F,白山駅徒歩21分,025-229-1576,"平日10:00～19:00
土日祝10:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=605,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,45席
11,高槻西武店 | カフェコンフォート,大阪府,高槻市,白梅町4-1西武百貨店高槻店2F,高槻駅徒歩3分,072-686-4310,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1003,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,49席
12,芦屋モンテメール店 | カフェコンフォート,兵庫県,芦屋市,船戸町1-31モンテメール2F,芦屋川駅徒歩9分,0797-32-5297,"平日8:00～20:00
土日祝8:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1304,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,50席
13,そごう横浜店 | カフェコンフォート,神奈川県,横浜市,西区高島2-18-1そごう横浜店8F,横浜駅徒歩5分,045-465-2935,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=511,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,64席
