id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon,chair
0,福井西武店 | カフェメルカード,福井県,福井市,中央1-9-20福井西武店新館B1F,福井駅前駅徒歩1分,0776-30-2280,"平日10:00～19:30
土日祝10:00～19:30",https://shop.ufs.co.jp/ufs/spot/detail?code=905,FALSE,TRUE,TRUE,TRUE,43.061315,141.354068,52席
1,博多大丸店 | カフェメルカード,福岡県,福岡市,中央区天神1-4-1博多大丸本館B2F,天神南駅徒歩1分,092-762-7361,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=2513,FALSE,FALSE,TRUE,FALSE,43.06765,141.349401,売店のみ
2,天満屋福山店 | カフェメルカード,広島県,福山市,元町1-1天満屋福山店B1F,福山駅徒歩3分,084-928-4067,"平日・日10:00～19:00
土10:00～19:30",https://shop.ufs.co.jp/ufs/spot/detail?code=1703,TRUE,FALSE,TRUE,FALSE,43.06765,141.349401,11席
3,天満屋広島アルパーク店 | カフェメルカード,広島県,広島市,西区井口明神1-16-1ｱﾙﾊﾟｰｸ天満屋1F,商工センター入口駅徒歩5分,082-501-1581,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1910,FALSE,TRUE,TRUE,TRUE,43.068275,141.352445,10席
4,鳥取大丸店 | カフェメルカード,鳥取県,鳥取市,今町2-151鳥取大丸B1F,鳥取駅徒歩3分,0857-25-2151,"平日10:00～19:00
土日祝10:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=2304,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"33席
(禁煙8席・喫煙25)"
5,長崎ゆめタウン夢彩都店 | カフェメルカード,長崎県,長崎市,元船10-1ゆめタウン夢彩都2F,大波止駅徒歩2分,095-811-4487,"平日10:00～21:00
土日祝10:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=2613,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,69席
6,大宮そごう店 | カフェメルカード,埼玉県,さいたま市,大宮区桜木町1-6-2大宮そごうB1F,大宮駅徒歩2分,048-648-1328,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=312,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,8席
7,大丸神戸店 | カフェメルカード,兵庫県,神戸市,中央区明石町40大丸神戸店B1F,旧居留地・大丸前駅徒歩3分以内,078-333-4050,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1409,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,売店のみ
8,倉敷天満屋店 | カフェメルカード,岡山県,倉敷市,阿知1－7－1天満屋倉敷店Ｂ１Ｆ,倉敷駅徒歩1分,086-435-7055,"平日10:00～19:30
土日祝10:00～19:30",https://shop.ufs.co.jp/ufs/spot/detail?code=1607,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,11席
9,川口そごう店 | カフェメルカード,埼玉県,川口市,栄町3-5-1川口そごうB1F,川口駅徒歩2分,048-254-9166,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=322,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,10席
