id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lon,chair
0,明石駅前店 | カフェプラザ,兵庫県,明石市,大明石町１－６－１パピオスあかし１階,山陽明石駅徒歩3分以内,789645252,7:30~21:00,https://shop.ufs.co.jp/ufs/spot/detail?code=1510,FALSE,TRUE,TRUE,TRUE,43.061315,141.354068,48席
1,名谷店 | カフェプラザ,兵庫県,神戸市,須磨区中落合2-2-1須磨パティオ専門店街1番館1F,名谷駅徒歩1分,078-792-5655,"平日7:30～21:00
土日祝7:30～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1403,FALSE,FALSE,TRUE,FALSE,43.06765,141.349401,58席
2,本社店 | カフェプラザ,兵庫県,神戸市,中央区多聞通5-1-6UCC第一ビル1F,高速神戸駅徒歩4分,078-361-8908,"平日07:00～19:00
土日祝07:00～19:00",https://shop.ufs.co.jp/ufs/spot/detail?code=3951,TRUE,FALSE,TRUE,FALSE,43.06765,141.349401,45席
3,博多駅ビル店 | カフェプラザ,福岡県,福岡市,博多区博多駅中央街1-1ＪＲ博多駅構内1F,博多駅徒歩1分,092-431-8035,"平日7:00～21:30
土日祝7:00～21:30",https://shop.ufs.co.jp/ufs/spot/detail?code=2501,FALSE,TRUE,TRUE,TRUE,43.068275,141.352445,44席
4,長岡駅ビル店 | カフェプラザ,新潟県,長岡市,城内町1丁目611-1CoCoLo長岡2F,長岡駅徒歩2分,0258-30-5251,"平日7:00～20:30
土日祝7:00～20:30",https://shop.ufs.co.jp/ufs/spot/detail?code=614,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,60席
5,大森海岸駅前店 | カフェプラザ,東京都,品川区,南大井3丁目32-1京急EXイン大森海岸駅前1F,大森海岸駅徒歩3分以内,03-5753-4773,"平日7:00～20:00
土日祝7:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=352,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"28席
(9:00以降喫煙可)"
6,大丸神戸店 | カフェプラザ,兵庫県,神戸市,中央区明石町40大丸神戸店B2F,旧居留地・大丸前駅徒歩3分以内,078-321-5208,"平日10:00～20:00
土日祝10:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1401,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,76席
7,西友新長田店 | カフェプラザ,兵庫県,神戸市,長田区若松町5-1-1西友新長田店B1,新長田駅徒歩4分,078-646-7023,"平日9:00～20:00
土日祝9:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1424,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,73席
8,神戸交通センタービル店 | カフェプラザ,兵庫県,神戸市,中央区三宮町1-10-1神戸交通センタービル2F,三宮駅徒歩2分,078-391-4057,"平日8:00～21:00
土日祝8:00～21:00",https://shop.ufs.co.jp/ufs/spot/detail?code=1207,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,82席
9,新潟バスセンター店 | カフェプラザ,新潟県,新潟市,中央区万代1-6-1新潟バスセンター1F,新潟駅徒歩11分,025-249-5833,"平日7:00～20:00
土日祝7:00～20:00",https://shop.ufs.co.jp/ufs/spot/detail?code=603,TRUE,TRUE,FALSE,TRUE,43.067656,141.350857,"41席
(禁煙:0/喫煙:41)"
