URL,前回のクロール
/tokyo/13118/chain_shops/doutor/2066,2020-10-14
/kanagawa/14205/chain_shops/tullys/2875,2020-10-14
/chiba/12238/chain_shops/kissa_renoir,2020-10-13
/hyogo/28210/chain_shops/ninas_pari,2020-10-06
/nara/29362/chain_shops/pronto,2020-10-05
/niigata/15361/chain_shops/pronto,2020-10-05
/hyogo/28216/chain_shops/tullys,2020-10-04
/nara/29209/stations/5643,2020-10-04
/kyoto/26109/stations/2182,2020-10-02
/osaka/27118/stations/4529,2020-10-02
/osaka/27209/stations/8315,2020-10-02
/mie/24216/stations/474,2020-10-02
/kochi/39210/stations/6447,2020-10-02
/chiba/12207/stations/3249,2020-10-02
/hyogo/28109/stations/5427,2020-10-02
/shiga/25211/stations/3124,2020-10-02
/osaka/27103/stations/4034,2020-10-02
/kyoto/26206/stations/1121,2020-10-02
/osaka/27366/stations/7763,2020-10-02
/shiga/25201/stations/2557,2020-10-02
/kochi/39402/stations/1294,2020-10-02
/osaka/27125/stations/5805,2020-10-02
/fukushima/chain_shops/cafemiyama,2020-10-02
/kyoto/26108/stations/1808,2020-10-02
/osaka/27116/stations/2584,2020-10-02
/osaka/27125/stations/7146,2020-10-02
/kanagawa/chain_shops/runoacoffee,2020-10-02
/osaka/27127/stations/1419,2020-10-02
/oita/44201/stations/3109,2020-10-02
/kochi/39201/stations/866,2020-10-02
/aichi/23209/stations/7391,2020-10-02
/kyoto/26108/stations/1044,2020-10-02
/akita/05215/stations/490,2020-10-02
/saga/41205/stations/5929,2020-10-02
/nagano/chain_shops/ninas_pari,2020-10-02
/kyoto/26103/stations/5325,2020-10-02
/osaka/27208/stations/3226,2020-10-02
/osaka/27111/stations/242,2020-10-02
/shiga/25209/stations/3157,2020-10-02
/oita/44207/stations/5224,2020-10-02
/saga/41341/stations/2695,2020-10-02
/nara/29208/stations/8841,2020-10-02
/oita/44203/stations/5753,2020-10-02
/kagawa/chain_shops/cafenobar,2020-10-02
/shimane/32201/stations/5,2020-10-02
/oita/44213/stations/1724,2020-10-02
/oita/44201/stations/4747,2020-10-02
/saga/41341/stations/3048,2020-10-02
/kochi/39428/stations/842,2020-10-02
/fukuoka/chain_shops/senbonlab,2020-10-02
/chiba/chain_shops/cafelamille,2020-10-02
/tottori/chain_shops/senbonlab,2020-10-02
/saga/41202/stations/2707,2020-10-02
/oita/chain_shops/kissa_renoir,2020-10-02
/ibaraki/chain_shops/cafenobar,2020-10-02
/zennkoku/chain_shops/teninasu,2020-10-02
/shizuoka/chain_shops/colorado,2020-10-02
/osaka/chain_shops/runoacoffee,2020-10-02
/nara/29442/stations/3270,2020-10-02
/osaka/27111/stations/241,2020-10-02
/kagawa/chain_shops/newyorkers,2020-10-02
/tochigi/chain_shops/parissimo,2020-10-02
/shiga/25213/stations/697,2020-10-02
/kanagawa/chain_shops/colorado,2020-10-02
/miyagi/chain_shops/caferenoir,2020-10-02
/nara/29210/stations/2773,2020-10-02
