id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng,chair
0,ニュー秋葉原店 | 喫茶室ルノアール,東京都,千代田区,外神田1-16-10ニュー秋葉原センタービルB1F,JR秋葉原駅電気街口出てワシントンホテル方面徒歩1分,03-3251-0210,"平日 ：7：30-22：00
土曜日：7：30-22：00
日祝日：8：00-21：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/48,TRUE,TRUE,TRUE,FALSE,35.697417,139.772689,"114席
(禁煙:54/喫煙:60)"
1,ニュー新宿3丁目店 | 喫茶室ルノアール,東京都,新宿区,新宿3-4-1東新宿ビルB2F,都営地下鉄新宿3丁目駅徒歩0分,03-3355-1299,"平日 ：7：30-23：00
土曜日：8：00-23：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/121,TRUE,TRUE,TRUE,FALSE,35.690739,139.7055,"70席
(禁煙:42/喫煙:28)"
2,横浜関内駅前店 | 喫茶室ルノアール ,神奈川県,横浜市,中区港町2-6横浜関内ビル2F,JR関内駅南口徒歩0分スタジアム側下りてすぐ関内駅前ビル2階,045-641-0223,"平日 ：7：30-23：00
土曜日：7：30-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/78,TRUE,TRUE,TRUE,TRUE,35.4440838,139.6367212,"58席
(禁煙:33/喫煙:25)"
3,横浜元町店 | 喫茶室ルノアール ,神奈川県,横浜市,中区元町1-18石川ビル1F,"みなとみらい線元町･中華街駅5出口から元町通り商店街を行き一つ目角を右へ
 
 JR石川町駅南口徒歩9分元町通り商店街元町プラザ向かい",045-641-3331,全日 ：8：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/65,TRUE,TRUE,TRUE,TRUE,35.441476,139.650263,"94席
(禁煙:72/喫煙:22)"
4,横浜西口北幸店 | 喫茶室ルノアール ,神奈川県,横浜市,西区北幸1-8-6三栄ビル1F,横浜駅より相鉄口を出て右に高島屋方面へ徒歩4分。一つ目の交差点を斜向かいのＪＴＢ側に渡り、みずほ証券の隣りのビルの１Ｆ。,045-595-9935,"月～土：7：00-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/63,TRUE,TRUE,TRUE,TRUE,35.4659732,139.6187928,"98席
(禁煙:70/喫煙:28)"
5,歌舞伎座前店 | 喫茶室ルノアール ,東京都,中央区,銀座5-15-1南海東京ビル2F,都営浅草線東銀座南海ビル口すぐ南海東京ビル内2階,03-5565-1833,"平日 ：7：30-23：00
土曜日：7：30-22：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/128,TRUE,TRUE,TRUE,FALSE,35.6686219,139.7676913,"67席
(禁煙:49/喫煙:18)"
6,蒲田西口店 | 喫茶室ルノアール ,東京都,大田区,西蒲田8-1-7グランタウンビル2F,JR蒲田駅西口徒歩3分西口大階段下って左手へ真直ぐ,03-3735-2508,"平日 ：7：30-23：00
土曜日：8：00-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/124,TRUE,TRUE,TRUE,FALSE,35.5612766,139.714873,"80席
(禁煙:34/喫煙:46)"
7,鎌倉駅前店 | 喫茶室ルノアール ,神奈川県,鎌倉市,小町1-6-19アラビル2F,JR鎌倉駅東口ロータリー左手,046-725-0452,全日 ：8：00-21：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/113,TRUE,TRUE,TRUE,FALSE,35.319488,139.551111,"64席
(禁煙:29/喫煙:35)"
8,京急川崎駅前店 | 喫茶室ルノアール ,神奈川県,川崎市,川崎区砂子1-1-10夏原ビル2F,京急川崎駅徒歩1分砂子1交差点右手前,044-211-8071,"平日 ：7：30-23：00
土曜日：8：00-23：00
日祝日：8：00-23：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/107,TRUE,TRUE,TRUE,FALSE,35.5313706,139.7010494,"52席
(禁煙:28/喫煙:24)"
9,京成上野駅前店 | 喫茶室ルノアール ,東京都,台東区,上野2-14-31上野レイクサイドビル2F,"JR上野駅中央改札 徒歩3分 約200ｍ
 
 JR上野駅不忍口改札 徒歩2分 約150ｍ
 
 京成上野駅池之端口 徒歩0分 約50ｍ",03-6803-2232,全日 ：8：00-23：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/55,TRUE,TRUE,TRUE,FALSE,35.710559,139.773127,"57席
(禁煙:30/喫煙:27)"
10,金町店 | 喫茶室ルノアール,東京都,葛飾区,東金町1-42-11金子ビル1F,JR金町駅北口徒歩1分ロータリー右手2つ目角右折すぐ,03-3600-1380,全日：8：00-18：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/35,TRUE,TRUE,TRUE,FALSE,35.7703545,139.8710663,"100席
(禁煙:70/喫煙:30)"
11,銀座1丁目柳通り店 | 喫茶室ルノアール ,東京都,中央区,銀座1-6-11土志田ビルディングB1F,地下鉄有楽町線銀座一丁目駅６出入口出て右徒歩1分,03-5250-1860,"平日 ：8：00-23：00
土曜日：8：00-23：00
日祝日：9：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/41,TRUE,TRUE,TRUE,FALSE,35.674447,139.767281,"71席
(禁煙:26/喫煙:45)"
12,銀座2丁目店 | 喫茶室ルノアール ,東京都,中央区,銀座2-7-18藤田ビルB1F,地下鉄銀座線銀座駅徒歩1分メルサ右隣地下1階,03-3561-3856,全日：8：00-23：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/8,TRUE,TRUE,TRUE,FALSE,35.673297,139.767564,"94席
(禁煙:60/喫煙:34)"
13,銀座6丁目店 | 喫茶室ルノアール ,東京都,中央区,銀座6-12-10旭ビル1F及び2F,地下鉄銀座線銀座駅Ａ3出口徒歩約4分、中央通りを新橋方面に進み、GINZASIXと銀座ライオンの間の道を左折して約100m直進左手,03-3574-7876,"平日 ：7：30-22：00
土曜日：7：30-22：00
日祝日：8：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/43,TRUE,TRUE,TRUE,FALSE,35.668766,139.764225,"61席
(禁煙:37/喫煙:24)"
14,銀座マロニエ通り店 | 喫茶室ルノアール ,東京都,中央区,銀座2-8-12ユニデン銀座ビル2F,"銀座駅A13番出口徒歩3分
 
 銀座一丁目駅9番出口徒歩2分
 
 東銀座駅A8出口から徒歩1分",03-6263-0784,全日 8：00-23：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/1,TRUE,TRUE,TRUE,FALSE,35.672477,139.767745,"84席
(禁煙:58/喫煙:26)"
